From	Entry	Gene Names (primary)	Gene Ontology IDs
P53621	P53621	COPA	GO:0000139; GO:0005179; GO:0005198; GO:0005615; GO:0005737; GO:0005789; GO:0005829; GO:0006886; GO:0006888; GO:0006890; GO:0006891; GO:0016020; GO:0030126; GO:0030133; GO:0030157; GO:0030426; GO:0070062
P53803	P53803	POLR2K	GO:0003677; GO:0003899; GO:0005634; GO:0005654; GO:0005665; GO:0005666; GO:0005736; GO:0005829; GO:0006356; GO:0006366; GO:0006383; GO:0008270
P53992	P53992	SEC24C	GO:0000149; GO:0001701; GO:0005789; GO:0005829; GO:0006886; GO:0006888; GO:0008270; GO:0012507; GO:0030127; GO:0070971; GO:0090110
P54357	P54357	Mlc-c	GO:0005509; GO:0005829; GO:0016460; GO:0017022; GO:0030048; GO:0031475; GO:0031476; GO:0031477; GO:0032036
P54640	P54640	cprE	GO:0004197; GO:0005615; GO:0005764; GO:0006955; GO:0051603
P54814	P54814		GO:0000502; GO:0005524; GO:0005634; GO:0005737; GO:0016887; GO:0030163; GO:0036402
P56375	P56375	Acyp2	GO:0003998; GO:0005739; GO:0042802
P57076	P57076	CFAP298	GO:0003352; GO:0005634; GO:0005829; GO:0005856; GO:0005929; GO:0060271
P57695	P57695	GLRA1	GO:0001964; GO:0002087; GO:0004888; GO:0005231; GO:0005887; GO:0006811; GO:0006821; GO:0006936; GO:0007165; GO:0007218; GO:0007268; GO:0007340; GO:0007601; GO:0007628; GO:0008270; GO:0009897; GO:0016594; GO:0016934; GO:0019228; GO:0030425; GO:0030594; GO:0030977; GO:0034220; GO:0034707; GO:0042391; GO:0043005; GO:0043025; GO:0043200; GO:0043204; GO:0043231; GO:0045202; GO:0045211; GO:0050877; GO:0050884; GO:0051970; GO:0060012; GO:0060013; GO:0060077; GO:0060080; GO:0070161; GO:0071230; GO:0071294; GO:0071361; GO:0097305; GO:0098690; GO:1902476; GO:1904315; GO:2000344
P60024	P60024	DDX39B	GO:0000245; GO:0000346; GO:0000398; GO:0003723; GO:0003724; GO:0005524; GO:0005681; GO:0005687; GO:0005688; GO:0005737; GO:0006406; GO:0010501; GO:0016607; GO:0016887; GO:0017070; GO:0030621; GO:0032786; GO:0042802; GO:0043008; GO:0046784; GO:2000002
P61859	P61859	cmd-1	GO:0005509; GO:0005823; GO:0019722; GO:0030234; GO:0051300
P62084	P62084	rps7	GO:0003735; GO:0006364; GO:0006412; GO:0022627; GO:0030097; GO:0032040; GO:0042274; GO:0043009; GO:0051726
P62258	P62258	YWHAE	GO:0000165; GO:0001764; GO:0003064; GO:0003723; GO:0005246; GO:0005634; GO:0005737; GO:0005829; GO:0005925; GO:0006605; GO:0007165; GO:0007346; GO:0008104; GO:0015459; GO:0016020; GO:0019899; GO:0019903; GO:0019904; GO:0021762; GO:0021766; GO:0021987; GO:0023026; GO:0031625; GO:0034504; GO:0034605; GO:0035556; GO:0042470; GO:0042802; GO:0042826; GO:0044325; GO:0045296; GO:0046827; GO:0046982; GO:0050815; GO:0051219; GO:0051480; GO:0060306; GO:0070062; GO:0086013; GO:0086091; GO:0097110; GO:1901016; GO:1901020; GO:1902309; GO:1905913
P62306	P62306	SNRPF	GO:0000387; GO:0000398; GO:0003723; GO:0005634; GO:0005654; GO:0005681; GO:0005682; GO:0005683; GO:0005685; GO:0005686; GO:0005687; GO:0005689; GO:0005829; GO:0008380; GO:0030532; GO:0034709; GO:0034715; GO:0034719; GO:0036261; GO:0046540; GO:0071005; GO:0071007; GO:0071013; GO:1903241
P62750	P62750	RPL23A	GO:0000027; GO:0002181; GO:0003723; GO:0003735; GO:0005634; GO:0005730; GO:0005737; GO:0005829; GO:0006412; GO:0019843; GO:0022625; GO:0022626; GO:0045296; GO:0070062; GO:1904841
P62875	P62875	POLR2L	GO:0003677; GO:0003899; GO:0005634; GO:0005654; GO:0005665; GO:0005666; GO:0005736; GO:0005829; GO:0006356; GO:0006360; GO:0006366; GO:0008270; GO:0042797
P62924	P62924	eIF-5A	GO:0003723; GO:0003746; GO:0005737; GO:0043022; GO:0045901; GO:0045905
P63016	P63016	Pax6	GO:0000122; GO:0000132; GO:0000785; GO:0000976; GO:0000978; GO:0000979; GO:0000981; GO:0001221; GO:0001227; GO:0001228; GO:0001568; GO:0001709; GO:0001755; GO:0001764; GO:0001933; GO:0002052; GO:0002064; GO:0002067; GO:0002088; GO:0003002; GO:0003309; GO:0003310; GO:0003322; GO:0003677; GO:0003680; GO:0003682; GO:0003690; GO:0003700; GO:0003723; GO:0005634; GO:0005737; GO:0006306; GO:0006338; GO:0006357; GO:0006366; GO:0006468; GO:0007224; GO:0007405; GO:0007406; GO:0007409; GO:0007411; GO:0007417; GO:0007420; GO:0007435; GO:0008283; GO:0008285; GO:0009611; GO:0009786; GO:0009950; GO:0009952; GO:0009953; GO:0010467; GO:0010468; GO:0010628; GO:0010942; GO:0010975; GO:0016573; GO:0019901; GO:0021510; GO:0021517; GO:0021543; GO:0021549; GO:0021593; GO:0021772; GO:0021778; GO:0021796; GO:0021798; GO:0021902; GO:0021905; GO:0021978; GO:0021983; GO:0021986; GO:0021987; GO:0022027; GO:0023019; GO:0030154; GO:0030182; GO:0030216; GO:0030334; GO:0030858; GO:0030900; GO:0030902; GO:0031490; GO:0031625; GO:0032808; GO:0032869; GO:0033365; GO:0035035; GO:0042462; GO:0042593; GO:0042660; GO:0043010; GO:0043565; GO:0044344; GO:0045165; GO:0045471; GO:0045664; GO:0045665; GO:0045893; GO:0045944; GO:0048505; GO:0048596; GO:0048708; GO:0048856; GO:0050680; GO:0050767; GO:0060041; GO:0061034; GO:0061072; GO:0061303; GO:0061351; GO:0070094; GO:0070410; GO:0070412; GO:0071333; GO:0071380; GO:0071466; GO:0071837; GO:0080111; GO:0098598; GO:0120008; GO:1901142; GO:1904798; GO:1904937; GO:1990830; GO:1990837; GO:2000178; GO:2001224
P63017	P63017	Hspa8	GO:0000082; GO:0000398; GO:0000974; GO:0001664; GO:0001786; GO:0001822; GO:0001916; GO:0001917; GO:0003723; GO:0005102; GO:0005524; GO:0005634; GO:0005681; GO:0005730; GO:0005737; GO:0005764; GO:0005765; GO:0005770; GO:0005776; GO:0005829; GO:0005874; GO:0005882; GO:0005886; GO:0006457; GO:0006606; GO:0007519; GO:0007568; GO:0007608; GO:0008021; GO:0009410; GO:0009986; GO:0010045; GO:0010667; GO:0014069; GO:0014823; GO:0016192; GO:0016887; GO:0019899; GO:0021549; GO:0030424; GO:0030425; GO:0030674; GO:0030900; GO:0031072; GO:0031625; GO:0031647; GO:0031686; GO:0031906; GO:0032279; GO:0032355; GO:0032570; GO:0032984; GO:0032991; GO:0034605; GO:0034620; GO:0042026; GO:0042277; GO:0042470; GO:0042594; GO:0043005; GO:0043025; GO:0043085; GO:0043195; GO:0043197; GO:0043198; GO:0043204; GO:0043209; GO:0043531; GO:0044183; GO:0044309; GO:0044743; GO:0044788; GO:0044829; GO:0044849; GO:0045121; GO:0045471; GO:0045862; GO:0045892; GO:0046034; GO:0046777; GO:0048026; GO:0048471; GO:0050766; GO:0051082; GO:0051085; GO:0051087; GO:0051726; GO:0051787; GO:0055131; GO:0061077; GO:0061635; GO:0061684; GO:0061738; GO:0061740; GO:0070062; GO:0071276; GO:0072318; GO:0097214; GO:0098684; GO:0098690; GO:0098793; GO:0098794; GO:0098880; GO:0098978; GO:0099175; GO:0099523; GO:0099524; GO:0099634; GO:0101031; GO:0140545; GO:0140662; GO:1902904; GO:1903206; GO:1904592; GO:1904593; GO:1904764; GO:1990124; GO:1990832; GO:1990833; GO:1990834; GO:1990836; GO:1990904
P63182	P63182	Cbln1	GO:0005576; GO:0005615; GO:0007157; GO:0007416; GO:0009306; GO:0021707; GO:0042802; GO:0043083; GO:0045202; GO:0045211; GO:0050808; GO:0051649; GO:0051965; GO:0070161; GO:0090394; GO:0098688; GO:0098978; GO:0099151; GO:0099558; GO:1900454; GO:1905606; GO:1905703
P63208	P63208	SKP1	GO:0000209; GO:0005634; GO:0005654; GO:0005737; GO:0005813; GO:0005829; GO:0008013; GO:0016567; GO:0019005; GO:0019904; GO:0031146; GO:0031467; GO:0035518; GO:0051457; GO:0070936; GO:0097602; GO:1904668; GO:1990444; GO:1990756
P67883	P67883	RPL30	GO:0003723; GO:0003735; GO:0022625
P69090	P69090	rpl18	GO:0002181; GO:0003735; GO:0005791; GO:0022625; GO:0042788
P70245	P70245	Ebp	GO:0000247; GO:0004769; GO:0005635; GO:0005783; GO:0005789; GO:0006695; GO:0008203; GO:0016021; GO:0016126; GO:0030097; GO:0031410; GO:0042802; GO:0043231; GO:0043931; GO:0047750
P70403	P70403	Cux1	GO:0000122; GO:0000139; GO:0000301; GO:0000977; GO:0000978; GO:0000981; GO:0001822; GO:0003677; GO:0003682; GO:0005634; GO:0005654; GO:0005737; GO:0005794; GO:0006357; GO:0030173; GO:0030324; GO:0030674; GO:0042491; GO:0043005; GO:0043565; GO:1990837
P70414	P70414	Slc8a1	GO:0001666; GO:0001892; GO:0002026; GO:0002027; GO:0002028; GO:0003007; GO:0005432; GO:0005509; GO:0005516; GO:0005654; GO:0005739; GO:0005874; GO:0005886; GO:0005887; GO:0006814; GO:0006816; GO:0006874; GO:0006883; GO:0007204; GO:0008092; GO:0009791; GO:0010468; GO:0010763; GO:0010881; GO:0014069; GO:0014704; GO:0014829; GO:0016020; GO:0016021; GO:0016323; GO:0030001; GO:0030018; GO:0030315; GO:0030424; GO:0030425; GO:0030501; GO:0030506; GO:0031226; GO:0033198; GO:0034614; GO:0035050; GO:0035725; GO:0035994; GO:0036376; GO:0042383; GO:0042995; GO:0043025; GO:0043197; GO:0043198; GO:0043679; GO:0044325; GO:0044557; GO:0045202; GO:0045211; GO:0051481; GO:0051924; GO:0055001; GO:0055013; GO:0055074; GO:0060048; GO:0060402; GO:0070509; GO:0070588; GO:0071313; GO:0071320; GO:0071901; GO:0071944; GO:0086036; GO:0086038; GO:0086064; GO:0098703; GO:0098719; GO:0098735; GO:0098794; GO:0099055; GO:0099580; GO:1901660; GO:1905060
P75823	P75823	ltaE	GO:0005829; GO:0006545; GO:0006567; GO:0008732; GO:0030170; GO:0042802; GO:0050179
P77735	P77735	yajO	GO:0005829; GO:0006772; GO:0016491
P79729	P79729	dhh	GO:0001708; GO:0005113; GO:0005509; GO:0005615; GO:0005886; GO:0006508; GO:0007224; GO:0007267; GO:0008233; GO:0010468
P81942	P81942		GO:0004364; GO:0005634; GO:0005739
P82596	P82596		GO:0030246
P82798	P82798	ATRX	GO:0000781; GO:0003677; GO:0003678; GO:0003682; GO:0005524; GO:0006281; GO:0006334; GO:0006336; GO:0006338; GO:0010571; GO:0016605; GO:0016887; GO:0030330; GO:0031297; GO:0032206; GO:0042393; GO:0045944; GO:0046872; GO:0072711; GO:1900112; GO:1901581
P82927	P82927	MRPL42	GO:0005743; GO:0005762
P84173	P84173	PHB1	GO:0005634; GO:0005737; GO:0005739; GO:0005743; GO:0005886; GO:0007005; GO:0009986; GO:0035632; GO:0071897
P84175	P84175	RPS12	GO:0003735; GO:0005794; GO:0006412; GO:0022627; GO:0090263
P85037	P85037	FOXK1	GO:0000785; GO:0000976; GO:0000978; GO:0000981; GO:0001227; GO:0001678; GO:0003700; GO:0005634; GO:0005654; GO:0005737; GO:0006357; GO:0007517; GO:0010507; GO:0010906; GO:0030154; GO:0042594; GO:0045892; GO:0045893; GO:0061621; GO:0071889; GO:1990837
P86729	P86729		GO:0005509; GO:0005576; GO:0007160
P86786	P86786		
P91766	P91766	ARA1	GO:0004888; GO:0016021; GO:0022848; GO:0045211; GO:0070161
P91778	P91778		GO:0004556; GO:0005975; GO:0046872
P97347	P97347	Rptn	GO:0001533; GO:0005509; GO:0005576; GO:0046914
P97524	P97524	Slc27a2	GO:0000038; GO:0001561; GO:0001676; GO:0004467; GO:0005324; GO:0005524; GO:0005777; GO:0005778; GO:0005779; GO:0005783; GO:0005788; GO:0005789; GO:0005886; GO:0006635; GO:0006699; GO:0015245; GO:0015718; GO:0015908; GO:0019899; GO:0030176; GO:0031957; GO:0042760; GO:0043231; GO:0044539; GO:0047676; GO:0047747; GO:0050197; GO:0070251; GO:0097089; GO:1905039
P97584	P97584	Ptgr1	GO:0005737; GO:0006693; GO:0035798; GO:0036102; GO:0036132; GO:0036185; GO:0047522; GO:0097257; GO:0097327; GO:2001302
Q00059	Q00059	TFAM	GO:0000976; GO:0001018; GO:0001223; GO:0003682; GO:0003723; GO:0005634; GO:0005739; GO:0005759; GO:0005829; GO:0006390; GO:0006391; GO:0008301; GO:0031072; GO:0032991; GO:0033108; GO:0034246; GO:0042645; GO:0043565; GO:0045893
Q00725	Q00725	Sgs4	GO:0005576; GO:0007594; GO:0062130
Q01397	Q01397	ro-3	GO:0000132; GO:0000743; GO:0005634; GO:0005737; GO:0005816; GO:0005819; GO:0005875; GO:0030286; GO:0031122; GO:0035371; GO:0051010; GO:0051286
Q01484	Q01484	ANK2	GO:0002027; GO:0003283; GO:0005200; GO:0005739; GO:0005764; GO:0005769; GO:0005829; GO:0005856; GO:0005886; GO:0006874; GO:0006897; GO:0008093; GO:0008104; GO:0010628; GO:0010881; GO:0010882; GO:0014704; GO:0015031; GO:0016323; GO:0016324; GO:0019899; GO:0019901; GO:0030018; GO:0030315; GO:0030507; GO:0030674; GO:0030913; GO:0031430; GO:0031647; GO:0031672; GO:0033292; GO:0033365; GO:0034394; GO:0036309; GO:0036371; GO:0042383; GO:0043005; GO:0043034; GO:0043268; GO:0044325; GO:0045121; GO:0045211; GO:0050821; GO:0051117; GO:0051279; GO:0051597; GO:0051924; GO:0051928; GO:0055037; GO:0055117; GO:0060307; GO:0070296; GO:0070972; GO:0072659; GO:0086004; GO:0086005; GO:0086014; GO:0086015; GO:0086046; GO:0086066; GO:0086070; GO:0086091; GO:0098907; GO:0098910; GO:0140031; GO:1901018; GO:1901019; GO:1901021; GO:2001259
Q02543	Q02543	RPL18A	GO:0002181; GO:0003723; GO:0003735; GO:0005737; GO:0005829; GO:0006412; GO:0016020; GO:0022625; GO:0022626; GO:0042788
Q02962	Q02962	PAX2	GO:0000785; GO:0000976; GO:0000978; GO:0000981; GO:0000987; GO:0001655; GO:0001658; GO:0001709; GO:0001823; GO:0001843; GO:0002072; GO:0003337; GO:0003406; GO:0003677; GO:0003700; GO:0005634; GO:0005654; GO:0005764; GO:0005815; GO:0006357; GO:0007409; GO:0007501; GO:0007568; GO:0007601; GO:0008134; GO:0010001; GO:0021554; GO:0021631; GO:0021633; GO:0021650; GO:0031667; GO:0032991; GO:0032993; GO:0034451; GO:0035566; GO:0035799; GO:0039003; GO:0042472; GO:0043010; GO:0043066; GO:0043069; GO:0043154; GO:0043491; GO:0045892; GO:0045893; GO:0045944; GO:0048793; GO:0048854; GO:0048856; GO:0048863; GO:0050679; GO:0060231; GO:0061360; GO:0070301; GO:0071300; GO:0071333; GO:0071364; GO:0072075; GO:0072108; GO:0072162; GO:0072179; GO:0072189; GO:0072205; GO:0072207; GO:0072221; GO:0072289; GO:0072300; GO:0072305; GO:0072307; GO:0072593; GO:0090102; GO:0090103; GO:0090190; GO:1900212; GO:1900215; GO:1900218; GO:1990837; GO:2000378; GO:2000594; GO:2000597
Q03105	Q03105		GO:0005774; GO:0016021; GO:0033179; GO:0046961
Q03275	Q03275		GO:0003964; GO:0004519
Q03400	Q03400		GO:0020003
Q04432	Q04432	HSP31	GO:0000932; GO:0005737; GO:0010494; GO:0019172; GO:0019243; GO:0031669; GO:0034599; GO:0044183; GO:0061077
Q04499	Q04499	slgA	GO:0002118; GO:0004657; GO:0005739; GO:0005759; GO:0006562; GO:0007626; GO:0010133; GO:0042331; GO:0071949
Q05187	Q05187		GO:0003810; GO:0016020; GO:0018149; GO:0046872
Q05688	Q05688	IGF1R	GO:0004713; GO:0004714; GO:0005009; GO:0005010; GO:0005198; GO:0005520; GO:0005524; GO:0005737; GO:0005886; GO:0005887; GO:0005899; GO:0007169; GO:0014068; GO:0030424; GO:0033674; GO:0042593; GO:0043066; GO:0043235; GO:0043409; GO:0043410; GO:0043548; GO:0043560; GO:0046328; GO:0046777; GO:0048009; GO:0051897; GO:0071333
Q05941	Q05941	Chrna7	GO:0001540; GO:0001666; GO:0001933; GO:0001934; GO:0001988; GO:0005216; GO:0005231; GO:0005737; GO:0005886; GO:0005887; GO:0005892; GO:0006811; GO:0006816; GO:0006874; GO:0006897; GO:0007165; GO:0007268; GO:0007271; GO:0007611; GO:0007613; GO:0008179; GO:0008284; GO:0008306; GO:0009409; GO:0009897; GO:0010628; GO:0014061; GO:0014069; GO:0015464; GO:0015643; GO:0016020; GO:0016324; GO:0017081; GO:0019228; GO:0019901; GO:0022848; GO:0030317; GO:0030424; GO:0030425; GO:0030426; GO:0030594; GO:0030673; GO:0032094; GO:0032225; GO:0032279; GO:0032691; GO:0032715; GO:0032720; GO:0033138; GO:0034220; GO:0035094; GO:0035095; GO:0042110; GO:0042113; GO:0042166; GO:0042391; GO:0042416; GO:0042698; GO:0042734; GO:0042803; GO:0043005; GO:0043025; GO:0043197; GO:0043198; GO:0043410; GO:0044853; GO:0045121; GO:0045202; GO:0045471; GO:0045766; GO:0046681; GO:0048149; GO:0050727; GO:0050728; GO:0050804; GO:0050808; GO:0050877; GO:0050890; GO:0050893; GO:0051117; GO:0051247; GO:0051649; GO:0051899; GO:0060079; GO:0060112; GO:0070161; GO:0070373; GO:0070374; GO:0095500; GO:0097061; GO:0097110; GO:0098655; GO:0098690; GO:0098815; GO:0098981; GO:0099055; GO:0099056; GO:0099060; GO:0099065; GO:0140059; GO:1900273; GO:1901214; GO:1902004; GO:1902430; GO:1902991; GO:1904315; GO:1904645; GO:1905144; GO:1905906; GO:1905920; GO:2000300; GO:2000463; GO:2001023
Q05BC3	Q05BC3	Eml1	GO:0000226; GO:0002244; GO:0005829; GO:0005874; GO:0007052; GO:0007405; GO:0007420; GO:0008017; GO:0015630; GO:0015631; GO:0048471
Q08BC4	Q08BC4	stpg2	
Q08CS6	Q08CS6	moxd2	GO:0004500; GO:0005507; GO:0005615; GO:0006589; GO:0016021; GO:0030667; GO:0042420; GO:0042421
Q09324	Q09324	Gcnt1	GO:0000139; GO:0000166; GO:0003829; GO:0005615; GO:0005802; GO:0008375; GO:0009101; GO:0016021; GO:0016268; GO:0031985; GO:0032868; GO:0048729; GO:0050901; GO:0060352; GO:0060993; GO:1903238
Q09472	Q09472	EP300	GO:0000122; GO:0000123; GO:0001221; GO:0001223; GO:0001666; GO:0001756; GO:0001966; GO:0002039; GO:0002209; GO:0002223; GO:0003677; GO:0003682; GO:0003684; GO:0003713; GO:0004402; GO:0004468; GO:0005634; GO:0005654; GO:0005667; GO:0005694; GO:0005829; GO:0006110; GO:0006366; GO:0006473; GO:0006475; GO:0006915; GO:0006990; GO:0007049; GO:0007399; GO:0007507; GO:0007519; GO:0007611; GO:0007623; GO:0008013; GO:0008022; GO:0008270; GO:0009887; GO:0010484; GO:0010485; GO:0010506; GO:0010742; GO:0010821; GO:0010976; GO:0016407; GO:0016573; GO:0016746; GO:0016922; GO:0018076; GO:0018393; GO:0018394; GO:0030183; GO:0030220; GO:0030324; GO:0030511; GO:0031333; GO:0031490; GO:0031648; GO:0032092; GO:0032993; GO:0034212; GO:0034644; GO:0035264; GO:0035855; GO:0036268; GO:0042771; GO:0043627; GO:0043923; GO:0043967; GO:0043969; GO:0045444; GO:0045721; GO:0045815; GO:0045893; GO:0045944; GO:0048156; GO:0050681; GO:0050821; GO:0051059; GO:0051091; GO:0051092; GO:0060325; GO:0060765; GO:0061629; GO:0061733; GO:0061920; GO:0061921; GO:0090043; GO:0097043; GO:0097157; GO:0097677; GO:0106226; GO:0120301; GO:0140065; GO:0140066; GO:0140067; GO:0140068; GO:0140069; GO:0140297; GO:1900034; GO:1901224; GO:1901796; GO:1905636
Q09502	Q09502	npr-18	GO:0004930; GO:0005887; GO:0042277; GO:0043005
Q09621	Q09621	lact-2	GO:0016021
Q09JW2	Q09JW2	RpL17; 	GO:0003735; GO:0006412; GO:0015934
Q0E908	Q0E908	Hil	GO:0005938; GO:0032154; GO:0046872
Q0GNC1	Q0GNC1	Inf2	GO:0003779; GO:0030036; GO:0031267; GO:0032535; GO:0048471; GO:0051056; GO:0090140
Q0IHR1	Q0IHR1	cyb5d1	GO:0046872
Q0IJ35	Q0IJ35	frmd8	GO:0005829; GO:0005856; GO:0005886; GO:0032760; GO:0090090
Q0KHV6	Q0KHV6	Pink1	GO:0000001; GO:0000266; GO:0000422; GO:0004672; GO:0004674; GO:0005524; GO:0005737; GO:0005739; GO:0005743; GO:0005829; GO:0006468; GO:0006511; GO:0006979; GO:0007005; GO:0007274; GO:0007614; GO:0010637; GO:0010821; GO:0016006; GO:0016021; GO:0030382; GO:0031315; GO:0035234; GO:0036289; GO:0042981; GO:0043008; GO:0043069; GO:0043524; GO:0045202; GO:0046872; GO:0047497; GO:0048078; GO:0048312; GO:0048749; GO:0051654; GO:0072375; GO:0072655; GO:0090141; GO:1902956; GO:1903599; GO:1904061; GO:1904457; GO:2000766
Q0KL02	Q0KL02	Trio	GO:0004674; GO:0005085; GO:0005524; GO:0005737; GO:0005769; GO:0006468; GO:0007411; GO:0007417; GO:0019898; GO:0019899; GO:0042995; GO:0045599; GO:0048812; GO:0106310
Q0MQG1	Q0MQG1	NDUFS1	GO:0005739; GO:0005743; GO:0005747; GO:0005758; GO:0006120; GO:0008137; GO:0008637; GO:0032981; GO:0045333; GO:0046034; GO:0046872; GO:0051537; GO:0051539; GO:0051881; GO:0072593
Q0V9R4	Q0V9R4	ccdc39	GO:0003341; GO:0005576; GO:0005930; GO:0036159; GO:0060285; GO:0060287; GO:0070286
Q0VAA2	Q0VAA2	LRRC74A	
Q0VCB0	Q0VCB0	ZNF350	GO:0000978; GO:0003700; GO:0005634; GO:0006357; GO:0016363; GO:0046872
Q0VCJ7	Q0VCJ7	RERG	GO:0001650; GO:0003924; GO:0003925; GO:0005525; GO:0005654; GO:0005829; GO:0005886; GO:0007265; GO:0008285; GO:0009725; GO:0019003; GO:0030308
Q0VCM2	Q0VCM2	TMEM187	GO:0016021; GO:0030133
Q10126	Q10126		
Q10751	Q10751	ACE	GO:0001822; GO:0002003; GO:0003081; GO:0003084; GO:0004180; GO:0004222; GO:0005886; GO:0008217; GO:0008237; GO:0008241; GO:0008270; GO:0008283; GO:0010814; GO:0010815; GO:0016021; GO:0031404; GO:0042445; GO:0042447; GO:0048167; GO:0060319; GO:0070573
Q12824	Q12824	SMARCB1	GO:0000228; GO:0000776; GO:0000785; GO:0001188; GO:0001650; GO:0001741; GO:0001835; GO:0002039; GO:0003677; GO:0003712; GO:0003713; GO:0005634; GO:0005654; GO:0005730; GO:0006337; GO:0006338; GO:0006357; GO:0007049; GO:0007399; GO:0008285; GO:0015074; GO:0016363; GO:0016514; GO:0016586; GO:0030071; GO:0030957; GO:0032991; GO:0035060; GO:0039692; GO:0042802; GO:0043073; GO:0043231; GO:0043923; GO:0045582; GO:0045597; GO:0045663; GO:0045944; GO:0051091; GO:0070316; GO:0070365; GO:0071564; GO:0071565; GO:0090240; GO:0140092; GO:1900110; GO:1900113; GO:1901838; GO:1902459; GO:1902661; GO:2000045; GO:2000617; GO:2000781; GO:2000819
Q13423	Q13423	NNT	GO:0003957; GO:0005739; GO:0005743; GO:0005746; GO:0006099; GO:0006740; GO:0008746; GO:0016020; GO:0016021; GO:0050661; GO:0051287; GO:0072593; GO:1902600
Q13616	Q13616	CUL1	GO:0000082; GO:0005654; GO:0005829; GO:0005886; GO:0006513; GO:0008283; GO:0009887; GO:0016567; GO:0019005; GO:0030674; GO:0031146; GO:0031461; GO:0031625; GO:0070936; GO:0097193; GO:1990452
Q13901	Q13901	C1D	GO:0000176; GO:0000178; GO:0000460; GO:0003677; GO:0003714; GO:0003723; GO:0005634; GO:0005654; GO:0005730; GO:0005737; GO:0006915; GO:0010468; GO:0016922; GO:0017053
Q14117	Q14117	DPYS	GO:0004157; GO:0005829; GO:0006208; GO:0006210; GO:0006212; GO:0006248; GO:0006249; GO:0008270; GO:0042802; GO:0046050; GO:0046079; GO:0051219; GO:0070062
Q14154	Q14154	DELE1	GO:0005739; GO:0005743; GO:0005829; GO:0008625; GO:0019901; GO:0043281; GO:0043539; GO:0140467; GO:0140468
Q14181	Q14181	POLA2	GO:0003677; GO:0005654; GO:0005658; GO:0005829; GO:0006260; GO:0006269; GO:0006270; GO:0006606
Q14517	Q14517	FAT1	GO:0002088; GO:0003382; GO:0003412; GO:0005509; GO:0005634; GO:0005886; GO:0005887; GO:0005911; GO:0005925; GO:0007015; GO:0007155; GO:0007156; GO:0007163; GO:0007267; GO:0009653; GO:0016324; GO:0016477; GO:0030027; GO:0030175; GO:0048471; GO:0070062; GO:0098609
Q148L6	Q148L6	DHDH	GO:0000166; GO:0042843; GO:0047115; GO:0047837
Q14995	Q14995	NR1D2	GO:0000122; GO:0000785; GO:0000978; GO:0000981; GO:0001227; GO:0004879; GO:0005634; GO:0005654; GO:0005737; GO:0006355; GO:0008270; GO:0009755; GO:0019216; GO:0030154; GO:0042752; GO:0045892; GO:0045893; GO:0045944; GO:0048512; GO:0050727; GO:0050728; GO:0055088; GO:0097009; GO:1990837; GO:2001014
Q14AE4	Q14AE4	Wfdc3	GO:0004867; GO:0005615; GO:0019731; GO:0045087
Q14AW5	Q14AW5	Nsun7	GO:0003723; GO:0008168; GO:0030317; GO:0030382; GO:0032259
Q15012	Q15012	LAPTM4A	GO:0005765; GO:0005794; GO:0016021; GO:0031902
Q15269	Q15269	PWP2	GO:0000028; GO:0000462; GO:0003723; GO:0005654; GO:0032040; GO:0034388
Q15397	Q15397	PUM3	GO:0003677; GO:0003723; GO:0003729; GO:0005654; GO:0005694; GO:0005730; GO:0005783; GO:0006417; GO:0010835
Q15468	Q15468	STIL	GO:0000578; GO:0001701; GO:0001843; GO:0001947; GO:0005737; GO:0005813; GO:0005814; GO:0005829; GO:0007052; GO:0007224; GO:0007368; GO:0021915; GO:0030900; GO:0030903; GO:0033504; GO:0035264; GO:0042802; GO:0043066; GO:0046599; GO:0046601; GO:0051298; GO:0060236; GO:0071539; GO:0120099; GO:1900087; GO:1905832
Q16342	Q16342	PDCD2	GO:0003677; GO:0005634; GO:0005737; GO:0006915; GO:0006919; GO:0019899; GO:0043065; GO:0046872; GO:0070062; GO:1901532; GO:1902035
Q16956	Q16956		GO:0005524; GO:0005788; GO:0016887; GO:0140662
Q16960	Q16960		GO:0005737; GO:0005874; GO:0005929; GO:0030286
Q16992	Q16992		GO:0005576; GO:0005643; GO:0007218
Q16TM5	Q16TM5		GO:0005886; GO:0016021
Q17241	Q17241	SGF1	GO:0003700; GO:0005634; GO:0019904; GO:0043565
Q17QN3	Q17QN3	SNRPN	GO:0000398; GO:0003723; GO:0005654; GO:0005682; GO:0005685; GO:0005686; GO:0005687; GO:0005737; GO:0046540; GO:0071004; GO:0071013
Q17QZ7	Q17QZ7	TTC27	
Q18786	Q18786	snr-4	GO:0000387; GO:0005682; GO:0005685; GO:0005686; GO:0005829; GO:0046540; GO:0071011; GO:0071013
Q1HQF8	Q1HQF8		GO:0005615; GO:0016021
Q1JPG1	Q1JPG1	RSPH10B	
Q1JQ99	Q1JQ99	MRPL14	GO:0003735; GO:0005743; GO:0005762; GO:0006412
Q1LZF1	Q1LZF1	PAX6	GO:0000122; GO:0000976; GO:0000978; GO:0000981; GO:0004842; GO:0005634; GO:0006357; GO:0030154; GO:0045893; GO:0048856; GO:0050768; GO:1904798
Q1MTI4	Q1MTI4	tpi1a	GO:0004807; GO:0005829; GO:0006094; GO:0006096; GO:0008929; GO:0019242; GO:0019563; GO:0042803; GO:0046166
